mean_age (kr BP),deltaD,d18O,,high end T,low end T,,,precipitation_temperature,d18O_permil
83.8375,-422.67,-53.734524,,-53.5878,-53.881248,,,,
84.2025,-425.36,-54.054762,,-53.908038,-54.201486,,,,
84.58775,-430.66,-54.685714,,-54.53899,-54.832438,,,,
84.98595,-429.29,-54.522619,,-54.375895,-54.669343,,,,
85.3803,-427.58,-54.319048,,-54.172324,-54.465772,,,,
85.7758,-427.21,-54.275,,-54.128276,-54.421724,,,,
86.1629,-424.3,-53.928571,,-53.781848,-54.075295,,,,
86.5389,-423.4,-53.821429,,-53.674705,-53.968152,,,,
86.9105,-422.76,-53.745238,,-53.598514,-53.891962,,,,
87.2732,-419.24,-53.32619,,-53.179467,-53.472914,,,,
87.64005,-422.06,-53.661905,,-53.515181,-53.808629,,,,
88.02555,-424.3,-53.928571,,-53.781848,-54.075295,,,,
88.4192,-425.32,-54.05,,-53.903276,-54.196724,,,,
88.81305,-426.13,-54.146429,,-53.999705,-54.293152,,,,
89.20635,-425.75,-54.10119,,-53.954467,-54.247914,,,,
89.5975,-425.38,-54.057143,,-53.910419,-54.203867,,,,
89.9751,-419.45,-53.35119,,-53.204467,-53.497914,,,,
90.3466,-422.52,-53.716667,,-53.569943,-53.863391,,,,
90.72515,-421.55,-53.60119,,-53.454467,-53.747914,,,,
91.1054,-422.9,-53.761905,,-53.615181,-53.908629,,,,
91.48215,-420.75,-53.505952,,-53.359228,-53.652676,,,,
91.85275,-420.03,-53.420238,,-53.273514,-53.566962,,,,
92.2224,-420.48,-53.47381,,-53.327086,-53.620533,,,,
92.5812,-415.33,-52.860714,,-52.71399,-53.007438,,,,
92.93715,-419.21,-53.322619,,-53.175895,-53.469343,,,,
93.3031,-420.84,-53.516667,,-53.369943,-53.663391,,,,
93.6715,-419.07,-53.305952,,-53.159228,-53.452676,,,,
94.04515,-422.13,-53.670238,,-53.523514,-53.816962,,,,
94.42445,-421.43,-53.586905,,-53.440181,-53.733629,,,,
94.7953,-418.89,-53.284524,,-53.1378,-53.431248,,,,
95.16485,-421.43,-53.586905,,-53.440181,-53.733629,,,,
95.53735,-418.7,-53.261905,,-53.115181,-53.408629,,,,
95.9072,-420.55,-53.482143,,-53.335419,-53.628867,,,,
96.2781,-418.34,-53.219048,,-53.072324,-53.365772,,,,
96.652,-420.79,-53.510714,,-53.36399,-53.657438,,,,
97.03065,-420.05,-53.422619,,-53.275895,-53.569343,,,,
97.41075,-420.95,-53.529762,,-53.383038,-53.676486,,,,
97.78655,-418.8,-53.27381,,-53.127086,-53.420533,,,,
98.1506,-416.96,-53.054762,,-52.908038,-53.201486,,,,
98.51205,-416.2,-52.964286,,-52.817562,-53.11101,,,,
98.8783,-417.28,-53.092857,,-52.946133,-53.239581,,,,
99.2521,-419.42,-53.347619,,-53.200895,-53.494343,,,,
99.639,-421.79,-53.629762,,-53.483038,-53.776486,,,,
100.0308,-421.08,-53.545238,,-53.398514,-53.691962,,,,
100.425,-421.72,-53.621429,,-53.474705,-53.768152,,,,
100.8325,-426.82,-54.228571,,-54.081848,-54.375295,,,,
101.2455,-430.78,-54.7,,-54.553276,-54.846724,,,,
101.6575,-426,-54.130952,,-53.984228,-54.277676,,,,
102.074,-423.74,-53.861905,,-53.715181,-54.008629,,,,
102.4955,-419.54,-53.361905,,-53.215181,-53.508629,,,,
102.9215,-422.03,-53.658333,,-53.511609,-53.805057,,,,
103.3515,-419.2,-53.321429,,-53.174705,-53.468152,,,,
103.787,-417.05,-53.065476,,-52.918752,-53.2122,,,,
104.2275,-412.14,-52.480952,,-52.334228,-52.627676,,,,
104.673,-417.44,-53.111905,,-52.965181,-53.258629,,,,
105.123,-421.95,-53.64881,,-53.502086,-53.795533,,,,
105.5785,-425.39,-54.058333,,-53.911609,-54.205057,,,,
106.0395,-431.09,-54.736905,,-54.590181,-54.883629,,,,
106.5065,-429.59,-54.558333,,-54.411609,-54.705057,,,,
106.9745,-430.45,-54.660714,,-54.51399,-54.807438,,,,
107.4335,-425.65,-54.089286,,-53.942562,-54.23601,,,,
107.885,-424.45,-53.946429,,-53.799705,-54.093152,,,,
108.3305,-424.11,-53.905952,,-53.759228,-54.052676,,,,
108.772,-423.09,-53.784524,,-53.6378,-53.931248,,,,
109.2155,-425.13,-54.027381,,-53.880657,-54.174105,,,,
109.6585,-424.8,-53.988095,,-53.841371,-54.134819,,,,
110.0865,-422.07,-53.663095,,-53.516371,-53.809819,,,,
110.495,-421.39,-53.582143,,-53.435419,-53.728867,,,,
110.895,-417.61,-53.132143,,-52.985419,-53.278867,,,,
